k,inertia,silhouette,status,repeat
2,3.354573527816872e+37,0.7887805718135942,ok,2
3,2.0930728078665697e+37,0.5752554375470004,ok,2
4,1.3016980123583955e+37,0.5870525083791441,ok,2
5,1.0867750533486612e+37,0.42767017176967104,ok,2
6,9.120393377234471e+36,0.4240779763565341,ok,2
7,7.685232661692171e+36,0.43295699133835597,ok,2
8,6.04482522811664e+36,0.46833098217460395,ok,2
