repeat,k,inertia,silhouette,status,inertia_mean,silhouette_mean
1,2,3.3830811422644637e+37,0.8613353965565695,ok,3.366820585275047e+37,0.8177983468295981
1,3,2.0980562341588328e+37,0.5798221479883272,ok,2.0978445985261686e+37,0.5777991691814103
1,4,1.3023929354309393e+37,0.5872087288743167,ok,1.3033699561222652e+37,0.5868071559979813
1,5,1.0860177764638606e+37,0.4296749929152251,ok,1.0870360823083289e+37,0.42041430650889416
1,6,9.102807709875583e+36,0.40628621049356256,ok,9.121392600735948e+36,0.4120678867886648
1,7,7.765250095944614e+36,0.4155992229538415,ok,7.517336781103334e+36,0.45950427262877086
1,8,6.121110506688427e+36,0.49161664752403794,ok,6.094161213395028e+36,0.47361253458056807
2,2,3.354573527816872e+37,0.7887805718135942,ok,3.366820585275047e+37,0.8177983468295981
2,3,2.0930728078665697e+37,0.5752554375470004,ok,2.0978445985261686e+37,0.5777991691814103
2,4,1.3016980123583955e+37,0.5870525083791441,ok,1.3033699561222652e+37,0.5868071559979813
2,5,1.0867750533486612e+37,0.42767017176967104,ok,1.0870360823083289e+37,0.42041430650889416
2,6,9.120393377234471e+36,0.4240779763565341,ok,9.121392600735948e+36,0.4120678867886648
2,7,7.685232661692171e+36,0.43295699133835597,ok,7.517336781103334e+36,0.45950427262877086
2,8,6.04482522811664e+36,0.46833098217460395,ok,6.094161213395028e+36,0.47361253458056807
3,2,3.35624898910257e+37,0.7885495557114266,ok,3.366820585275047e+37,0.8177983468295981
3,3,2.0957101068544145e+37,0.5798538871424999,ok,2.0978445985261686e+37,0.5777991691814103
3,4,1.3048770647769144e+37,0.586700485188365,ok,1.3033699561222652e+37,0.5868071559979813
3,5,1.0877544935061987e+37,0.4293761994930629,ok,1.0870360823083289e+37,0.42041430650889416
3,6,9.130974129783648e+36,0.39977753253055126,ok,9.121392600735948e+36,0.4120678867886648
3,7,7.380127939056375e+36,0.48358528996701255,ok,7.517336781103334e+36,0.45950427262877086
3,8,6.14117051891332e+36,0.4576937678039954,ok,6.094161213395028e+36,0.47361253458056807
4,2,3.358922904769032e+37,0.7885289331136748,ok,3.366820585275047e+37,0.8177983468295981
4,3,2.099809368177656e+37,0.5742999945484693,ok,2.0978445985261686e+37,0.5777991691814103
4,4,1.305026049323122e+37,0.5862296837161507,ok,1.3033699561222652e+37,0.5868071559979813
4,5,1.088858563604654e+37,0.4284383580585048,ok,1.0870360823083289e+37,0.42041430650889416
4,6,9.155415564583058e+36,0.42446612910596215,ok,9.121392600735948e+36,0.4120678867886648
4,7,7.385288763158426e+36,0.48267064862530173,ok,7.517336781103334e+36,0.45950427262877086
4,8,6.049054001122854e+36,0.4919550594155034,ok,6.094161213395028e+36,0.47361253458056807
5,2,3.3812763624222975e+37,0.8617972769527249,ok,3.366820585275047e+37,0.8177983468295981
5,3,2.1025744755733703e+37,0.579764378680755,ok,2.0978445985261686e+37,0.5777991691814103
5,4,1.3028557187219544e+37,0.5868443738319297,ok,1.3033699561222652e+37,0.5868071559979813
5,5,1.0857745246182694e+37,0.386911810308007,ok,1.0870360823083289e+37,0.42041430650889416
5,6,9.097372222202978e+36,0.405731585456714,ok,9.121392600735948e+36,0.4120678867886648
5,7,7.370784445665081e+36,0.48270921025934255,ok,7.517336781103334e+36,0.45950427262877086
5,8,6.114645812133899e+36,0.4584662159846996,ok,6.094161213395028e+36,0.47361253458056807
