symbol,pc1,pc2,pc3
Ac,-1.2044951543711461e+17,-2.344531680624484e+17,-1.2622942238114011e+17
Ag,-1.1362626389981322e+17,-3.0981965061229484e+16,-1.2434710473905003e+17
Al,-1.2588254720277731e+17,-6.679612107285313e+16,1.1481085572280356e+16
Am,-1.22036961710689e+17,-2.3691371554336733e+17,-1.6353306127504262e+17
Ar,1.1768305951887578e+16,1.5394682285063613e+18,9.092301716881445e+16
As,-1.3325540623190286e+17,-7315779371982446.0,-1.2957905106394206e+17
At,-1.2297025528091174e+17,-2.2991329923092426e+17,-1.587222274947495e+17
Au,-1.0990663889593397e+17,-1.3359171369739213e+17,-1.3916764494015037e+17
B,-1.2773215340809546e+17,-7222123613181396.0,-2.2201127153162874e+17
Ba,-1.2964372027216107e+17,-2.8604579021754733e+17,2.317987843782967e+17
Be,-9.642290893141547e+16,1.7650197065236992e+17,-3.344185745813078e+17
Bh,-1.2713834784127744e+17,-2.2140290052170826e+17,-1.600751515687043e+17
Bi,-1.12809600542857e+17,-1.2124639240084197e+17,-1.3151882482908402e+17
Bk,-1.2708236036729091e+17,-2.2713431816687984e+17,-1.6122219368969962e+17
Br,-1.2545958317316275e+17,4.623360885093117e+17,-6.4783241165015144e+16
C,-6.01164036986477e+16,8.464013614653277e+17,-6373369361786214.0
Ca,2.1429906177106685e+17,6.745958655142157e+17,2.0878972542942333e+17
Cd,-2.601246590911409e+16,-2.261134795622024e+16,-1.2721402245521034e+17
Ce,-1.505432037013752e+17,-2.929970768557199e+17,3.0358834604810515e+17
Cf,-1.2283781080961757e+17,-2.2743997972000976e+17,-1.6282899402567776e+17
Cl,-1.9056152229773736e+16,8.242104903592232e+17,-1.0946610463419766e+16
Cm,-1.152726666316133e+17,-2.2956617583200106e+17,-1.5805917271549984e+17
Co,-1.1774591778638434e+17,-2.3297246429854397e+17,-1.625646068495382e+17
Cr,-1.1034993171823126e+17,3.386721217882491e+17,2.382721345339532e+17
Cs,-1.174745274909168e+17,-2.4696593885399357e+17,-1.3281891333190084e+16
