config,n_bands,seed,best_k,mean_top10_anova_block,mean_top10_anova_period,periodicity_strength,silhouette_best,Z_R2,p_block,p_period,p_periodicity,p_silhouette,p_Z_R2,n_perm
scaler_standard,36,42,3,6.667255131919e+00,2.698705999858e+01,2.320824646620e+02,7.320168778128e-01,7.038712341161e-01,4.975124378109e-03,4.975124378109e-03,1.990049751244e-02,4.761904761905e-02,4.975124378109e-03,200
scaler_standard,37,42,3,6.677231024753e+00,2.736796584695e+01,2.353832996938e+02,7.284358968015e-01,6.931685817853e-01,4.975124378109e-03,4.975124378109e-03,9.950248756219e-03,4.761904761905e-02,4.975124378109e-03,200
scaler_standard,38,42,2,6.790695099463e+00,2.213332720681e+01,2.434388668584e+02,7.460141425236e-01,6.856851926634e-01,4.975124378109e-03,4.975124378109e-03,1.492537313433e-02,4.761904761905e-02,4.975124378109e-03,200
scaler_robust,36,42,3,6.667255131919e+00,2.698705999858e+01,1.534019979033e+05,7.320168778216e-01,7.038712341161e-01,4.975124378109e-03,4.975124378109e-03,4.577114427861e-01,4.761904761905e-02,4.975124378109e-03,200
scaler_robust,37,42,3,6.677231024753e+00,2.736796584695e+01,1.156003875030e+05,7.284358968015e-01,6.931685817853e-01,4.975124378109e-03,4.975124378109e-03,7.263681592040e-01,4.761904761905e-02,4.975124378109e-03,200
scaler_robust,38,42,2,6.790695099463e+00,2.213332720681e+01,7.630524013253e+04,7.460141425261e-01,6.856851926634e-01,4.975124378109e-03,4.975124378109e-03,2.288557213930e-01,4.761904761905e-02,4.975124378109e-03,200
