symbol,atomic_number,pc1,pc2,pc3,name,period,group,electronegativity_pauling,ionization_energy_1,atomic_radius,source_note,block
Hf,72,0.6165859948903787,0.0684679369441841,-0.2398691522458533,Hafnium,6,4.0,1.3,6.824873310426714,208.0,Bluegrams periodic-table-data CSV,d
Hg,80,-0.5556144024674327,-0.8421246042646069,-0.8276251409349061,Mercury,6,12.0,2.0,10.437858634670834,171.0,Bluegrams periodic-table-data CSV,d
Ho,67,0.6134747699115737,0.137265794133525,-0.1457220338834536,Holmium,6,,1.23,6.0216422070735325,226.0,Bluegrams periodic-table-data CSV,f
Hs,108,-0.2906310389899509,-0.7002749239761714,-0.8506480249009609,Hassium,7,8.0,,,,Bluegrams periodic-table-data CSV,d
I,53,-0.3165789777646725,-0.5752785879215104,-0.8737091831286999,Iodine,5,17.0,2.66,10.451332188662564,115.0,Bluegrams periodic-table-data CSV,p
In,49,-0.0274597112419914,-0.4900644302096337,-0.7053313468698278,Indium,5,13.0,1.78,5.78637322583331,156.0,Bluegrams periodic-table-data CSV,p
Ir,77,0.4345059281546805,-0.0809444011168934,-0.3888374203280575,Iridium,6,9.0,2.2,9.120559625171616,180.0,Bluegrams periodic-table-data CSV,d
K,19,-3.715677779263725,-5.289647237346348,10.239190279937466,Potassium,4,1.0,0.82,4.340557239797582,243.0,Bluegrams periodic-table-data CSV,s
Kr,36,-1.060140713246644,-1.2993621759366154,-0.2202663783693082,Krypton,4,18.0,3.0,14.000059024638428,88.0,Bluegrams periodic-table-data CSV,p
La,57,1.4680065131344,0.8803054322063587,0.3675303058184521,Lanthanum,6,3.0,1.1,5.5770149253464165,195.0,Bluegrams periodic-table-data CSV,d
Li,3,-4.8530129971940985,-7.707381644917088,14.209692586089885,Lithium,2,1.0,0.98,5.391494451152584,167.0,Bluegrams periodic-table-data CSV,s
Lr,103,-0.2894639334196811,-0.698906984861241,-0.8491036815141804,Lawrencium,7,,1.3,4.871207981625749,,Bluegrams periodic-table-data CSV,f
Lu,71,0.5148909314349801,-0.0076887690996236,-0.3199803616501315,Lutetium,6,,1.27,5.425696549746978,217.0,Bluegrams periodic-table-data CSV,f
Md,101,-0.2906310389899509,-0.7002749239761714,-0.8506480249009609,Mendelevium,7,,1.3,6.581312911345427,,Bluegrams periodic-table-data CSV,f
Mg,12,-0.960058946596391,-1.3732939391419037,0.6882184991175403,Magnesium,3,2.0,1.31,7.64572367669216,145.0,Bluegrams periodic-table-data CSV,s
Mn,25,0.0072516704879839,-0.6552331091116139,-0.8950317597266451,Manganese,4,7.0,1.55,7.434292521744999,161.0,Bluegrams periodic-table-data CSV,d
