period,n,pearson_r_pc1_group,pearson_p_pc1_group,spearman_rho_pc1_group,spearman_p_pc1_group,ols_intercept,ols_slope_group,ols_r2,ols_p_slope,perm_p_two_sided_pearson,n_perm
1,2,,,,,,,,,,2000
2,8,0.6139131041364648,0.10543317158262848,0.4761904761904762,0.23293553465009798,-3.1498736671706706,0.13990474768521177,0.37688929943046967,0.1054331715826286,0.07946026986506746,2000
3,8,0.5697744222398681,0.1403706387701454,0.30952380952380953,0.4556448907375822,-1.5913209747125212,0.0737801855002101,0.3246428922387753,0.14037063877014533,0.16091954022988506,2000
4,18,-0.014533237677058608,0.9543577581252034,-0.24871001031991744,0.31964521777772903,0.17717659902384272,-0.003682723659115426,0.00021121499737775107,0.9543577581252033,0.953023488255872,2000
5,18,-0.3915814070925395,0.10805180174888229,-0.5252837977296182,0.02518359155961345,0.6989690139175416,-0.05239777109366056,0.153335998380573,0.10805180174888256,0.09945027486256872,2000
6,18,-0.7007501926931732,0.0011982119911444747,-0.78328173374613,0.00012076451611540729,0.9172657467321617,-0.0751639359057641,0.4910508325595193,0.0011982119911444677,0.0014992503748125937,2000
7,8,-0.6212469721914016,0.10017120001781818,-0.7910398521054723,0.01938484054457119,0.0013395951125100155,-0.04246348367149228,0.3859478004569843,0.10017120001781801,0.10344827586206896,2000
