k,inertia,silhouette
2,1.109457301625e+03,5.520210593470e-01
3,1.009326555802e+03,5.827693352521e-01
4,8.834319096992e+02,4.987103032536e-01
5,8.472430648134e+02,3.139054466722e-01
6,7.572232204854e+02,3.144190591912e-01
7,6.501563653137e+02,2.509357675054e-01
8,6.936374600196e+02,2.285655009179e-01
9,4.804323743934e+02,3.256594395928e-01
10,4.160394614134e+02,3.254824177777e-01
11,4.574582959065e+02,2.483864182628e-01
12,3.961539502955e+02,3.380623323040e-01
