band,anova_f_period
b02,7.630921546547e+01
b01,1.652160493827e+01
b11,1.285349110222e+01
b10,4.687264282730e+00
b07,3.904808317089e+00
b12,3.179556302301e+00
b05,2.069362538270e+00
b03,1.976560538465e+00
b09,1.875373683946e+00
b08,1.870716126978e+00
b04,1.499023463628e+00
b06,7.697657287140e-01
