band,anova_f_block
b10,1.002572519593e+01
b12,6.932096763378e+00
b11,5.054596520451e+00
b02,3.953720678642e+00
b05,3.470936010138e+00
b09,3.268141070761e+00
b07,2.442637759711e+00
b01,2.320987654321e+00
b06,2.231149201111e+00
b04,1.498791868133e+00
b08,9.087429118281e-01
b03,1.140211840656e-01
