k,inertia,silhouette,status,repeat
2,3.3848269540483107e+37,0.861536066605504,ok,1
3,2.0981720557666876e+37,0.5802276541101044,ok,1
4,1.303662509768544e+37,0.5873814179313229,ok,1
5,1.0871045960013965e+37,0.4298163675021502,ok,1
6,9.111100488547159e+36,0.4071548757355237,ok,1
7,7.772608220527637e+36,0.41934748511270403,ok,1
8,6.133744176116693e+36,0.49191355291222155,ok,1
