band,anova_f_period
b03,5.115432907712e+01
b01,1.652160493827e+01
b02,1.652160493827e+01
b15,1.105777782543e+01
b14,7.689944734156e+00
b16,5.271904142096e+00
b09,4.525089605735e+00
b06,3.947578652419e+00
b13,3.410643631557e+00
b10,2.067915106117e+00
b04,1.924720412011e+00
b12,1.638292249544e+00
b11,1.615691581650e+00
b07,1.548494336403e+00
b05,1.499948214292e+00
b08,7.536073918547e-01
