band,anova_f_block
b16,9.489666308197e+00
b15,7.398006363893e+00
b13,7.298376510228e+00
b07,4.891399551769e+00
b03,4.175436336440e+00
b12,2.929724243625e+00
b06,2.891466370574e+00
b01,2.320987654321e+00
b02,2.320987654321e+00
b08,2.088872946945e+00
b09,1.598108747045e+00
b05,1.503679110765e+00
b14,1.444908402947e+00
b11,1.107839157656e+00
b10,8.099636429837e-01
b04,1.069965529065e-01
