k,inertia,silhouette
2,1.524487717822e+03,4.526921899077e-01
3,1.418483059618e+03,3.910226552135e-01
4,1.263792486370e+03,3.177213537934e-01
5,1.149138042645e+03,4.061681765082e-01
6,1.054982445066e+03,2.810635586303e-01
7,9.921195786859e+02,3.636268461008e-01
8,9.083534462797e+02,3.254238519065e-01
9,6.961022432883e+02,3.981953568352e-01
10,6.731927407298e+02,2.638905519989e-01
11,5.640312333681e+02,2.899590315453e-01
12,6.921764054454e+02,3.074145763060e-01
